age,gender,smoker_status,mortality_rate
36,M,smoker,0.002525
36,F,non_smoker,0.001065
36,F,smoker,0.001969
37,M,non_smoker,0.00149
37,M,smoker,0.002757
37,F,non_smoker,0.001163
37,F,smoker,0.002151
38,M,non_smoker,0.001627
38,M,smoker,0.003011
38,F,non_smoker,0.001269
38,F,smoker,0.002348
39,M,non_smoker,0.001777
39,M,smoker,0.003288
39,F,non_smoker,0.001386
39,F,smoker,0.002564
40,M,non_smoker,0.001941
40,M,smoker,0.00359
40,F,non_smoker,0.001514
40,F,smoker,0.0028
41,M,non_smoker,0.002119
41,M,smoker,0.003921
41,F,non_smoker,0.001653
41,F,smoker,0.003058
42,M,non_smoker,0.002314
42,M,smoker,0.004281
42,F,non_smoker,0.001805
42,F,smoker,0.003339
43,M,non_smoker,0.002527
43,M,smoker,0.004675
43,F,non_smoker,0.001971
43,F,smoker,0.003646
44,M,non_smoker,0.002759
44,M,smoker,0.005105
44,F,non_smoker,0.002152
44,F,smoker,0.003982
45,M,non_smoker,0.003013
45,M,smoker,0.005575
45,F,non_smoker,0.00235
45,F,smoker,0.004348
46,M,non_smoker,0.00329
46,M,smoker,0.006087
46,F,non_smoker,0.002567
46,F,smoker,0.004748
47,M,non_smoker,0.003593
47,M,smoker,0.006647
47,F,non_smoker,0.002803
47,F,smoker,0.005185
48,M,non_smoker,0.003924
48,M,smoker,0.007259
48,F,non_smoker,0.00306
48,F,smoker,0.005662
49,M,non_smoker,0.004285
49,M,smoker,0.007927
49,F,non_smoker,0.003342
49,F,smoker,0.006183
50,M,non_smoker,0.004679
50,M,smoker,0.008656
50,F,non_smoker,0.003649
50,F,smoker,0.006751
51,M,non_smoker,0.005109
51,M,smoker,0.009452
51,F,non_smoker,0.003985
51,F,smoker,0.007373
52,M,non_smoker,0.005579
52,M,smoker,0.010321
52,F,non_smoker,0.004352
52,F,smoker,0.008051
53,M,non_smoker,0.006092
53,M,smoker,0.011271
53,F,non_smoker,0.004752
53,F,smoker,0.008791
54,M,non_smoker,0.006653
54,M,smoker,0.012308
54,F,non_smoker,0.005189
54,F,smoker,0.0096
55,M,non_smoker,0.007265
55,M,smoker,0.01344
55,F,non_smoker,0.005667
55,F,smoker,0.010483
56,M,non_smoker,0.007933
56,M,smoker,0.014676
56,F,non_smoker,0.006188
56,F,smoker,0.011447
57,M,non_smoker,0.008663
57,M,smoker,0.016026
57,F,non_smoker,0.006757
57,F,smoker,0.0125
58,M,non_smoker,0.00946
58,M,smoker,0.0175
58,F,non_smoker,0.007379
58,F,smoker,0.01365
59,M,non_smoker,0.01033
59,M,smoker,0.01911
59,F,non_smoker,0.008057
59,F,smoker,0.014906
60,M,non_smoker,0.01128
60,M,smoker,0.020868
60,F,non_smoker,0.008798
60,F,smoker,0.016277
61,M,non_smoker,0.012318
61,M,smoker,0.022788
61,F,non_smoker,0.009608
61,F,smoker,0.017774
62,M,non_smoker,0.013451
62,M,smoker,0.024884
62,F,non_smoker,0.010492
62,F,smoker,0.019409
63,M,non_smoker,0.014688
63,M,smoker,0.027173
63,F,non_smoker,0.011457
63,F,smoker,0.021195
64,M,non_smoker,0.016039
64,M,smoker,0.029672
64,F,non_smoker,0.012511
64,F,smoker,0.023145
65,M,non_smoker,0.017515
65,M,smoker,0.032402
65,F,non_smoker,0.013661
65,F,smoker,0.025274
66,M,non_smoker,0.019126
66,M,smoker,0.035383
66,F,non_smoker,0.014918
66,F,smoker,0.027598
67,M,non_smoker,0.020885
67,M,smoker,0.038637
67,F,non_smoker,0.01629
67,F,smoker,0.030137
68,M,non_smoker,0.022806
68,M,smoker,0.042192
68,F,non_smoker,0.017789
68,F,smoker,0.032909
69,M,non_smoker,0.024904
69,M,smoker,0.046073
69,F,non_smoker,0.019425
69,F,smoker,0.035937
70,M,non_smoker,0.027195
70,M,smoker,0.050311
70,F,non_smoker,0.021212
70,F,smoker,0.039242
71,M,non_smoker,0.029697
71,M,smoker,0.054939
71,F,non_smoker,0.023163
71,F,smoker,0.042852
72,M,non_smoker,0.032428
72,M,smoker,0.059993
72,F,non_smoker,0.025294
72,F,smoker,0.046794
73,M,non_smoker,0.035411
73,M,smoker,0.065511
73,F,non_smoker,0.027621
73,F,smoker,0.051099
74,M,non_smoker,0.038669
74,M,smoker,0.071537
74,F,non_smoker,0.030162
74,F,smoker,0.055799
75,M,non_smoker,0.042226
75,M,smoker,0.078118
75,F,non_smoker,0.032936
75,F,smoker,0.060932
76,M,non_smoker,0.04611
76,M,smoker,0.085304
76,F,non_smoker,0.035966
76,F,smoker,0.066537
77,M,non_smoker,0.050352
77,M,smoker,0.093151
77,F,non_smoker,0.039274
77,F,smoker,0.072658
78,M,non_smoker,0.054984
78,M,smoker,0.10172
78,F,non_smoker,0.042887
78,F,smoker,0.079341
79,M,non_smoker,0.060041
79,M,smoker,0.111077
79,F,non_smoker,0.046832
79,F,smoker,0.08664
80,M,non_smoker,0.065564
80,M,smoker,0.121294
80,F,non_smoker,0.05114
80,F,smoker,0.09461
81,M,non_smoker,0.071596
81,M,smoker,0.132452
81,F,non_smoker,0.055845
81,F,smoker,0.103313
82,M,non_smoker,0.078182
82,M,smoker,0.144636
82,F,non_smoker,0.060982
82,F,smoker,0.112816
83,M,non_smoker,0.085373
83,M,smoker,0.157941
83,F,non_smoker,0.066591
83,F,smoker,0.123194
84,M,non_smoker,0.093227
84,M,smoker,0.172469
84,F,non_smoker,0.072717
84,F,smoker,0.134526
85,M,non_smoker,0.101802
85,M,smoker,0.188335
85,F,non_smoker,0.079406
85,F,smoker,0.146901
86,M,non_smoker,0.111167
86,M,smoker,0.205659
86,F,non_smoker,0.08671
86,F,smoker,0.160414
87,M,non_smoker,0.121393
87,M,smoker,0.224577
87,F,non_smoker,0.094687
87,F,smoker,0.17517
88,M,non_smoker,0.13256
88,M,smoker,0.245236
88,F,non_smoker,0.103397
88,F,smoker,0.191284
89,M,non_smoker,0.144754
89,M,smoker,0.267795
89,F,non_smoker,0.112908
89,F,smoker,0.20888
90,M,non_smoker,0.158069
90,M,smoker,0.292428
90,F,non_smoker,0.123294
90,F,smoker,0.228094
91,M,non_smoker,0.17261
91,M,smoker,0.319328
91,F,non_smoker,0.134636
91,F,smoker,0.249076
92,M,non_smoker,0.188488
92,M,smoker,0.348703
92,F,non_smoker,0.147021
92,F,smoker,0.271988
93,M,non_smoker,0.205827
93,M,smoker,0.380779
93,F,non_smoker,0.160545
93,F,smoker,0.297008
94,M,non_smoker,0.22476
94,M,smoker,0.415806
94,F,non_smoker,0.175313
94,F,smoker,0.324329
95,M,non_smoker,0.245436
95,M,smoker,0.454056
95,F,non_smoker,0.19144
95,F,smoker,0.354163
96,M,non_smoker,0.268013
96,M,smoker,0.495823
96,F,non_smoker,0.20905
96,F,smoker,0.386742
97,M,non_smoker,0.292667
97,M,smoker,0.541433
97,F,non_smoker,0.22828
97,F,smoker,0.422318
98,M,non_smoker,0.319589
98,M,smoker,0.591239
98,F,non_smoker,0.249279
98,F,smoker,0.461166
99,M,non_smoker,0.348987
99,M,smoker,0.645626
99,F,non_smoker,0.27221
99,F,smoker,0.503588
